top3
ritemost
rightmost square
rightside
riht
rite
rite bit
rite hand
rite hand
rite nxt to 
rite of all
rite part
rite side
rite-most
riteest
riteest
riteest possible
ritemost
ritemost box
riteside
row
same place
second frmm far left
second frmm far rite
second frmm leftmost square
second frmm top on far left
second frmm top on far rite
second from far left
second from far right
second from left
second from leftmost box
second from the leftmost
second from the rightmost
second from the ritemost
second from top 
second from top on far left
second from top on far right
second from top on the left
second from top on the right
second from top on the rite
second one down
second space down
second space frmm bottom
second space from bottom
second space up
second sq goin left
second to top
second-to-top on the left square
seven boxes up
seven spaces left
seven spaces right
short
side
side
sides
six boxes up
six spaces left
six spaces right
somwhere here
south
south
southeast
southwest
space
spaces
spaces along
sq
sq by it self
square
square above u 
square above ur original position 
square closest to the top
square in the middle
square on e extreme rite
square on its own
squarees
squares above
squares along
squares below
squares
frmm the left
squares from the left
squares from the rite
ssecond from the bottom
sth of
stick out
sticking out
sticking out
sticking out
sticking out bit
sticks out
the bottomest one
the left 
the leftest one
the one at the bottom
the right
the rightest
the rite
the three boxs going vertical
the three squares going vertical
the top
the top box
the toppest one
then look from rite
third one down
third one down on left h side
third up frmm the bottom
third up from the bottom
three across from me
three along 
three blocks at the top
three box
three boxes up
three boxs at the top
three down
three down frmm top 
three down from top 
three frmm the ritemost box
three left
three right
three spaces from far rite then one down 
three spaces left
three spaces right
three squares at the top
three up
three up 
three up frmm bttm
three up from bttm
to left
to the left
to the left of
to the right
to the right of
to the top
to your left
to your right
top
top
top 
top 2nd block
top 2nd box
top 2nd from left 
top 3 boxes
top 4 boxes
top 5 boxes
top 6 boxes
top 6 boxes the one in the middle
top and leftest
top and rightes
top and rightest
top bit
top block
top block at right
top box
top box at rite
top box on the 5 vertical boxes on the left
top box on the 5 vertical boxes on the right
top box on the left
top cube
top half
top left
top left 
top left corner
top left hand corner
top left part
top most box
top most square
top of the left
top of the left side
top of the maze
top of the right
top one
top or bottom
top place
Top rhight
top right
top right 
top right corner
top right hand corner
top right just 2 square
top right part
top rite hand corner
top rite just 2 box
top rite just 2 square
top section
top segment
top space
top square
top square at rite
top square on the 5 vertical squarees on the left
top square on the 5 vertical squarees on the rite
top sticking out bit
top top left
top top right
top4
top5
top6
topmost
topmost block from right corner
topmost box
topmost box frmm rite corner
topmost left corner
topmost right corner 
topmost square
Topy left
touch the top
two along
two along frmm your one
two along from your one
two blocks at the top
two boxes up
two boxs above it
two boxs at the top
two boxs away
two down
two down frmm top
two down frmm top box on furthest rite
two down frmm top square on furthest rite
two down from top
two down from top square on furthest right
two gates far left n right
two left
two right
two spaces from far rite then one down
two spaces left
two spaces right
two sqs rite
two sqs roit
two squares above it
two squares at the top
two squares away
two up
two up frmm bttm
two up from bttm
unda ur goal
under r switch
under ur exit
under ur switch
up 
up above bttm
up and down
up and down on the left
up and down on the right
up frm bttm
upmost
upper
upper most box
upper most square 
upper section
uppermost
uppermost corner
ur left
vert
vertcal
vertcal
vertical
vertical boxes
vertical boxs
vertical squarees
vertical squares
very top box
very top square
west
west
west of
wher the main body joins on the 
which line
wide segment
with 2 boxes
with 2 squrares
with 3 boxes
with 3 squrares
with 4 boxes
with 4 squrares
with 5 boxes
with 5 squrares
with 6 boxes
with 6 squrares
xtreme
xtreme left square bottom 
xtreme right
xtreme right box bottom
xtreme right hand corner at the bottom
xtreme right hand corner at the top
xtreme rite square bottom
xtreme rite square bottom 
your right
your rite
