typed	code	subcode
dolphine	dolphin	~
dolphins	dolphin	~
domestic cat	cat	~
donkey	donkey	~
donkeys	donkey	~
door mouse	dormouse	~
doplin	dolphin	~
dove	dove	~
doves	dove	~
dragon	dragon	~
dragon flies	dragonfly	~
dragonflies	dragonfly	~
driver ant	ant	driver
duch	duck	~
duck	duck	~
duck 	duck	~
duckling	duck	~
ducks	duck	~
dung beetle	beetle	dung
eagle	eagle	~
eagle is a bird not animal	eagle	~
eagles	eagle	~
earthworms	earthworm	~
earwigs	insect	earwig
eating plants	~	~
echidna!	echidna	~
echindna	echidna	~
echinoderm	starfish	echinoderm
eel	eel	~
eels	eel	~
eggs!	~	~
elepahnt	elephant	~
elephant	elephant	~
elephant 	elephant	~
elephant seal	elephant	~
elephants	elephant	~
elk	elk	~
emporer penguin	penguin	emporer
emu	emu	~
evil hamsters	hamster	~
evolution 	~	~
extinct animals should be fine right	~	~
extinction	~	~
fair	~	~
fairy penguin	penguin	fairy
falcon	falcon	~
fdidget	~	~
fennec fox	fennec	~
ferrels	ferret	~
ferret	ferret	~
feseant	pheasant	~
finding nemo	~	~
fire ant	ant	fire
fish	fish	~
fish 	fish	~
fish (of various types)	fish	~
fish are animals	fish	~
fish not animals	fish	~
flamingo	flamingo	~
flamingos	flamingo	~
fleas	flea	~
flies	fly	~
fly	fly	~
flycatcher	bird	flycatcher
flying squirrel	flyingsquirrel	~
food chain 	~	~
fosa	civet	fossa
fox	fox	~
foxes	fox	~
frog	frog	~
frogs	frog	~
from the hayashi clan	~	~
fruit bat	bat	fruit
fruit fly	fly	fruit
fujiwara	~	~
fur	~	~
fur trade	~	~
furry	~	~
galapagos penguin	penguin	galapagos
gammarus	shrimp	gammarus
garden snake	gardensnake	~
gazelel	gazelle	~
gazelle	gazelle	~
gelding	horse	~
georgia	~	~
gerbil	gerbil	~
germany	~	~
gheko	gecko	~
giant panda	panda	giant
gibon	gibbon	~
ginuea pig	guineapig	~
giraffe	giraffe	~
giraffee	giraffe	~
giraffes	giraffe	~
girrafe 	giraffe	~
gnu	wildebeest	~
goat	goat	~
goats	goat	~
god, i suck at this! 	~	~
godzilla	~	~
gold fish	goldfish	~
golden eagle	eagle	golden
golden mole	mole	mole
goldfish	goldfish	~
goode	goose	~
goood gooood	~	~
goose	goose	~
goriila	gorilla	~
gorilla	gorilla	~
grass snake	watersnake	~
grasshopper	grasshopper	~
grasshoppers	grasshopper	~
great tit	bird	greattit
great white shark	greatwhiteshark	~
great white sharks	greatwhiteshark	~
green anole	anole	green
greenflys	fly	green
grey hound	greyhound	~
grey wolf	wolf	grey
griffin	dragon	griffin
grizzly bear	grizzlybear	~
groilla	gorilla	~
guinea pid	guineapig	~
guinea pig	guineapig	~
guinea pigs	guineapig	~
guinea-pig	guineapig	~
guineau pig	guineapig	~
guinnea pig	guineapig	~
haddock	fish	haddock
haha	~	~
haha urchin	urchin	~
hahaha	~	~
hahaha yeah just spider i said a few more earlier	spider	~
hair	~	~
hakuna matata	~	~
hammerhead shark	hammerheadshark	~
hampster	hamster	~
hamster	hamster	~
hamsters	hamster	~
hare	hare	~
